Class,Feature,Mean,Std,Minimum,Maximum
Low,Alcohol use,-0.23653102966985853,0.010770566636095201,-0.24662232631094874,-0.2181937440256067
Low,Balanced Diet,-0.03762170194845676,0.007883732226789014,-0.04845739120777936,-0.028584701642829745
Low,Chest Pain,0.056922566118774845,0.008103930298388113,0.044869558758964506,0.06572217745002204
Low,Clubbing of Finger Nails,-0.7186729004306855,0.01576736684698495,-0.7386453211113841,-0.6968056522460678
Low,Coughing of Blood,-0.6140391011646676,0.02065279466607992,-0.6317171488754436,-0.5854656047172067
Low,Dry Cough,-0.3948288488701279,0.017243545448261628,-0.4149556148310641,-0.3690376955161809
Low,Dust Allergy,-0.4331070276724864,0.0019309882984814215,-0.43633134525004735,-0.4312923059287633
Low,Fatigue,-0.6304665056165248,0.017512980099483044,-0.6596960892556718,-0.6171642851648879
Low,Frequent Cold,-0.529943863259019,0.02782389874538242,-0.5645330132724725,-0.4901809384259584
Low,Gender,0.055237179416671944,0.029630512608350246,0.019799664227028873,0.084974173481854
Low,Genetic Risk,-0.40298850471587305,0.010455199493391328,-0.41071087241671517,-0.38495051740118297
Low,Obesity,-0.80751553310733,0.02012762447259801,-0.8258504937981043,-0.7769084049656415
Low,OccuPational Hazards,-0.11872998787891409,0.013419911998506453,-0.13375055732968122,-0.09714574148584709
Low,Passive Smoker,-0.6306963824819942,0.01653643807303105,-0.6485116519222686,-0.603457080311728
Low,Shortness of Breath,-0.28022979947046134,0.017229979917853615,-0.2924444567199696,-0.2504034435504102
Low,Smoking,0.028555175925134003,0.017457118810202423,-0.0002595068580892051,0.04177876001294521
Low,Snoring,-0.583657956643443,0.01906347855845281,-0.6021837090917784,-0.5567855540793352
Low,Swallowing Difficulty,-0.6614266556192552,0.01553474340677118,-0.677397748413672,-0.6391143270671426
Low,Weight Loss,-0.11889832624297783,0.01844740143768627,-0.14854752346599032,-0.09873175362540922
Low,Wheezing,-0.7922513428957371,0.016566806866684186,-0.8131276518085484,-0.7783047542428095
Low,chronic Lung Disease,-0.2500342441083509,0.009988513830866259,-0.2592186555942435,-0.23323391388705966
Medium,Age,0.35087494884158726,0.02796860616431613,0.3173447247240083,0.384806353355039
Medium,Air Pollution,-0.4360124393575525,0.018971877811981553,-0.4689468027366499,-0.42438376458200017
Medium,Alcohol use,-0.18149691248108837,0.01240124389079466,-0.199546017848859,-0.1667995636507017
Medium,Balanced Diet,-0.375505871320724,0.007160296580883597,-0.3819796172728145,-0.36412558421358304
Medium,Chest Pain,-0.13766859306577145,0.013534477212434651,-0.1488542085882009,-0.12107195507822223
Medium,Clubbing of Finger Nails,0.3696556204047805,0.013648529576714821,0.3551182320931971,0.39141261906348335
Medium,Coughing of Blood,-0.0678654753384908,0.02964073961996199,-0.10205347903963438,-0.035639396540524254
Medium,Dry Cough,-0.028612743981591676,0.017358802364263126,-0.05393229698488296,-0.007477629247987358
Medium,Dust Allergy,0.45169602673731557,0.008825337460491101,0.44314349753102855,0.4659994161346898
Medium,Fatigue,-0.15558066677939134,0.020398547588629763,-0.1723483868899445,-0.12198355594156722
Medium,Frequent Cold,0.16108450973184138,0.03780078878365469,0.11326492053114691,0.20613616617442004
Medium,Gender,-0.11437413519502548,0.01587242916746599,-0.13183915369128463,-0.09895753392398494
Medium,Genetic Risk,0.1790696622859396,0.006710396715798293,0.1703564945419958,0.18715413330300024
Medium,Obesity,0.2640447960503063,0.013765174736495984,0.24211782327484566,0.27588553419431455
Medium,OccuPational Hazards,0.04538287510710778,0.01161409370919453,0.026229242984031436,0.055275665341026015
Medium,Passive Smoker,-0.11611578173589568,0.011842370541990211,-0.1311362552326851,-0.10130152771704186
Medium,Shortness of Breath,-0.15457727457648937,0.022935102244181015,-0.18252392422524644,-0.13322141508504853
Medium,Smoking,-0.2768164029855683,0.030778692189038302,-0.3048900123953652,-0.22996489138347226
Medium,Snoring,0.3576191064995637,0.02364541992738087,0.32086261780941,0.37973924883830495
Medium,Swallowing Difficulty,0.051020525670750175,0.019499225142191563,0.032029919998652984,0.07437007439405492
Medium,Weight Loss,-0.27027538809608725,0.0192048050442542,-0.28709378438801997,-0.23936861363734346
Medium,Wheezing,0.642469031305539,0.025408048471995088,0.6173200345386745,0.6829545246666441
Medium,chronic Lung Disease,-0.0959321819299567,0.012741557216328372,-0.11142819463078615,-0.08152985000205507
